aggregator,block_dimension,budget,dimension,discrete,elapsed_budget,elapsed_time,error,function_class,hashing,loss,name,noise_level,num_blocks,num_workers,optimizer_name,rotation,seed,translation_factor,useful_dimensions,useless_variables
max,2,4,2,False,4,0.0010628700256347656,,ArtificialFunction,False,8.076937571203104,sphere,1,1,2,OnePlusOne,False,662124363,1,2,0
max,2,4,2,False,4,0.0005500316619873047,,ArtificialFunction,False,1.1266810031162495,sphere,1,1,2,SPSA,False,1916507803,1,2,0
max,2,4,2,False,4,0.0005309581756591797,,ArtificialFunction,False,1.1494491005364151,sphere,1,1,2,OnePlusOne,False,3340206418,1,2,0
max,2,4,2,False,4,0.000560760498046875,,ArtificialFunction,False,1.1492550864518014,sphere,1,1,2,SPSA,False,2608511152,1,2,0
max,2,4,2,False,4,0.0005359649658203125,,ArtificialFunction,False,1.2487167661689256,sphere,1,1,2,OnePlusOne,False,2207369835,1,2,0
max,2,4,2,False,4,0.0008680820465087893,,ArtificialFunction,False,0.4135373831240662,sphere,1,1,2,SPSA,False,3959502168,1,2,0
max,2,4,2,False,4,0.0017020702362060547,,ArtificialFunction,False,1.7032838284432412,sphere,1,1,2,OnePlusOne,False,3645644232,1,2,0
max,2,4,2,False,4,0.0012080669403076172,,ArtificialFunction,False,1.7033342931669606,sphere,1,1,2,SPSA,False,3494301429,1,2,0
max,2,4,2,False,4,0.0005328655242919922,,ArtificialFunction,False,0.18895501208315585,sphere,1,1,2,OnePlusOne,False,959027881,1,2,0
max,2,4,2,False,4,0.0013539791107177734,,ArtificialFunction,False,0.18902595322185045,sphere,1,1,2,SPSA,False,1402977518,1,2,0
max,2,4,2,False,4,0.0006198883056640625,,ArtificialFunction,False,0.2578285965015361,sphere,1,1,2,OnePlusOne,False,1265576559,1,2,0
max,2,4,2,False,4,0.0018868446350097656,,ArtificialFunction,False,0.2578273924688286,sphere,1,1,2,SPSA,False,780729585,1,2,0
max,2,4,2,False,4,0.0006189346313476562,,ArtificialFunction,False,3.784723568973543,sphere,1,1,2,OnePlusOne,False,2793336106,1,2,0
max,2,4,2,False,4,0.0005679130554199219,,ArtificialFunction,False,0.6097252091696105,sphere,1,1,2,SPSA,False,326463763,1,2,0
max,2,4,2,False,4,0.0008518695831298827,,ArtificialFunction,False,2.62872729331926,sphere,1,1,2,OnePlusOne,False,418903645,1,2,0
max,2,4,2,False,4,0.0009200572967529297,,ArtificialFunction,False,5.999877358534832,sphere,1,1,2,SPSA,False,1848846958,1,2,0
max,2,4,2,False,4,0.0018317699432373047,,ArtificialFunction,False,0.261904676221178,sphere,1,1,2,OnePlusOne,False,2526002531,1,2,0
max,2,4,2,False,4,0.0008697509765625,,ArtificialFunction,False,0.2619058390789312,sphere,1,1,2,SPSA,False,3811404250,1,2,0
max,2,4,2,False,4,0.0005340576171875,,ArtificialFunction,False,4.721246234987806,sphere,1,1,2,OnePlusOne,False,209271753,1,2,0
max,2,4,2,False,4,0.0011551380157470703,,ArtificialFunction,False,1.436457593429566,sphere,1,1,2,SPSA,False,3432846543,1,2,0
