aggregator,block_dimension,budget,dimension,discrete,elapsed_budget,elapsed_time,error,function_class,hashing,loss,name,noise_level,num_blocks,num_workers,optimizer_name,rotation,seed,translation_factor,useful_dimensions,useless_variables
max,20,500,20,False,500,0.7146937847137451,,ArtificialFunction,False,19.24425953291137,sphere,10,1,1,SPSA,True,662124363,1,20,0
max,20,128000,20,False,128000,41.488850116729736,,ArtificialFunction,False,18.532844685550785,sphere,10,1,1,SPSA,True,1330999968,1,20,0
max,20,500,20,False,500,0.7361547946929932,,ArtificialFunction,False,1.8109948900542137e+44,cigar,10,1,1,SPSA,True,1916507803,1,20,0
max,20,128000,20,False,128000,46.0297954082489,,ArtificialFunction,False,1.2943725581808907e+46,cigar,10,1,1,SPSA,True,3019103342,1,20,0
max,20,500,20,False,500,0.6670298576354979,,ArtificialFunction,False,343.9970456790727,sphere4,10,1,1,SPSA,True,3178489222,1,20,0
max,20,128000,20,False,128000,43.410306692123406,,ArtificialFunction,False,357.0934103816351,sphere4,10,1,1,SPSA,True,2883867163,1,20,0
max,20,500,20,False,500,0.2260451316833496,,ArtificialFunction,False,16.86510474694847,sphere,10,1,1,SPSA,False,3751169277,1,20,0
max,20,128000,20,False,128000,40.09980225563049,,ArtificialFunction,False,18.026125869646645,sphere,10,1,1,SPSA,False,2147247803,1,20,0
max,20,500,20,False,500,0.2546296119689941,,ArtificialFunction,False,4.0070374065570337e+43,cigar,10,1,1,SPSA,False,1130929393,1,20,0
max,20,128000,20,False,128000,43.88021755218506,,ArtificialFunction,False,5.708362819274235e+42,cigar,10,1,1,SPSA,False,2023916505,1,20,0
max,20,500,20,False,500,0.16208577156066895,,ArtificialFunction,False,317.9090599303372,sphere4,10,1,1,SPSA,False,371232386,1,20,0
max,20,128000,20,False,128000,39.585174322128296,,ArtificialFunction,False,392.6569598562685,sphere4,10,1,1,SPSA,False,870421179,1,20,0
max,20,1000,20,False,1000,0.9097084999084472,,ArtificialFunction,False,19.136674331204862,sphere,10,1,1,SPSA,True,2292393219,1,20,0
max,20,1000,20,False,1000,0.965993881225586,,ArtificialFunction,False,3.35233945336259e+41,cigar,10,1,1,SPSA,True,3107846083,1,20,0
max,20,1000,20,False,1000,0.9565439224243164,,ArtificialFunction,False,349.88126933437894,sphere4,10,1,1,SPSA,True,62598988,1,20,0
max,20,1000,20,False,1000,0.4292590618133545,,ArtificialFunction,False,24.60942897625729,sphere,10,1,1,SPSA,False,1505292720,1,20,0
max,20,1000,20,False,1000,0.4552419185638428,,ArtificialFunction,False,3.2339344569248795e+42,cigar,10,1,1,SPSA,False,3945988374,1,20,0
max,20,1000,20,False,1000,0.4345152378082275,,ArtificialFunction,False,359.87006525996526,sphere4,10,1,1,SPSA,False,145874993,1,20,0
max,20,2000,20,False,2000,1.3885650634765625,,ArtificialFunction,False,12.892047677898994,sphere,10,1,1,SPSA,True,3868540852,1,20,0
max,20,2000,20,False,2000,1.6439731121063232,,ArtificialFunction,False,2.5447052749090118e+42,cigar,10,1,1,SPSA,True,1268891525,1,20,0
max,20,2000,20,False,2000,1.3937358856201172,,ArtificialFunction,False,318.90826616151,sphere4,10,1,1,SPSA,True,143543949,1,20,0
max,20,2000,20,False,2000,0.8647446632385254,,ArtificialFunction,False,13.000501925903196,sphere,10,1,1,SPSA,False,354439641,1,20,0
max,20,2000,20,False,2000,0.9738502502441406,,ArtificialFunction,False,2.8854926129969174e+41,cigar,10,1,1,SPSA,False,4110066082,1,20,0
max,20,2000,20,False,2000,0.8420917987823486,,ArtificialFunction,False,338.37925527713463,sphere4,10,1,1,SPSA,False,3117949387,1,20,0
max,20,4000,20,False,4000,2.32395076751709,,ArtificialFunction,False,22.454994170207804,sphere,10,1,1,SPSA,True,589309558,1,20,0
max,20,4000,20,False,4000,2.5624032020568848,,ArtificialFunction,False,3.9139090871952046e+43,cigar,10,1,1,SPSA,True,1601311818,1,20,0
max,20,4000,20,False,4000,2.3727943897247314,,ArtificialFunction,False,373.36467573200514,sphere4,10,1,1,SPSA,True,1219033472,1,20,0
max,20,4000,20,False,4000,1.7148029804229736,,ArtificialFunction,False,20.74520787191404,sphere,10,1,1,SPSA,False,2903387509,1,20,0
max,20,4000,20,False,4000,1.7673628330230713,,ArtificialFunction,False,3.7334701454033565e+41,cigar,10,1,1,SPSA,False,2603107432,1,20,0
max,20,4000,20,False,4000,1.5857467651367188,,ArtificialFunction,False,317.9888729829572,sphere4,10,1,1,SPSA,False,4224732364,1,20,0
max,20,8000,20,False,8000,3.4349207878112797,,ArtificialFunction,False,14.313308892420098,sphere,10,1,1,SPSA,True,4055416077,1,20,0
max,20,8000,20,False,8000,4.130255699157715,,ArtificialFunction,False,4.872556489908325e+47,cigar,10,1,1,SPSA,True,2068156498,1,20,0
max,20,8000,20,False,8000,3.8224964141845694,,ArtificialFunction,False,388.58101608542427,sphere4,10,1,1,SPSA,True,3662471257,1,20,0
max,20,8000,20,False,8000,2.994425773620605,,ArtificialFunction,False,10.231793427190523,sphere,10,1,1,SPSA,False,3919324451,1,20,0
max,20,8000,20,False,8000,3.972089052200317,,ArtificialFunction,False,4.18155944633124e+42,cigar,10,1,1,SPSA,False,9703358,1,20,0
max,20,8000,20,False,8000,3.3543689250946045,,ArtificialFunction,False,323.2002133307506,sphere4,10,1,1,SPSA,False,815512676,1,20,0
max,20,16000,20,False,16000,6.202170610427856,,ArtificialFunction,False,20.03101731788065,sphere,10,1,1,SPSA,True,2238648739,1,20,0
max,20,16000,20,False,16000,7.234495639801025,,ArtificialFunction,False,1.5956343349578446e+43,cigar,10,1,1,SPSA,True,635542945,1,20,0
max,20,16000,20,False,16000,6.279855489730835,,ArtificialFunction,False,344.39984544545257,sphere4,10,1,1,SPSA,True,2370983582,1,20,0
max,20,16000,20,False,16000,6.7283804416656485,,ArtificialFunction,False,24.460922223668753,sphere,10,1,1,SPSA,False,3896683639,1,20,0
max,20,16000,20,False,16000,6.517159938812256,,ArtificialFunction,False,3.2301836705008715e+47,cigar,10,1,1,SPSA,False,2084680127,1,20,0
max,20,16000,20,False,16000,6.522723436355591,,ArtificialFunction,False,378.5376639049038,sphere4,10,1,1,SPSA,False,2939153760,1,20,0
max,20,32000,20,False,32000,11.813211441040039,,ArtificialFunction,False,19.529710556337463,sphere,10,1,1,SPSA,True,3299111058,1,20,0
max,20,32000,20,False,32000,12.829610347747805,,ArtificialFunction,False,8.595317452525898e+44,cigar,10,1,1,SPSA,True,4113413590,1,20,0
max,20,32000,20,False,32000,12.395363807678224,,ArtificialFunction,False,383.1689508903218,sphere4,10,1,1,SPSA,True,690273202,1,20,0
max,20,32000,20,False,32000,11.103109359741213,,ArtificialFunction,False,18.971528149078267,sphere,10,1,1,SPSA,False,1958723792,1,20,0
max,20,32000,20,False,32000,12.0121328830719,,ArtificialFunction,False,3.4857321692819604e+48,cigar,10,1,1,SPSA,False,3283762132,1,20,0
max,20,32000,20,False,32000,10.80505108833313,,ArtificialFunction,False,336.268717603045,sphere4,10,1,1,SPSA,False,2418672774,1,20,0
max,20,64000,20,False,64000,21.446046352386478,,ArtificialFunction,False,39.24604462100479,sphere,10,1,1,SPSA,True,89377403,1,20,0
max,20,64000,20,False,64000,24.1699333190918,,ArtificialFunction,False,4.2545219345812404e+47,cigar,10,1,1,SPSA,True,3441408621,1,20,0
max,20,64000,20,False,64000,21.968759775161747,,ArtificialFunction,False,365.4499854001001,sphere4,10,1,1,SPSA,True,580723273,1,20,0
max,20,64000,20,False,64000,20.37298369407653,,ArtificialFunction,False,29.40793908015985,sphere,10,1,1,SPSA,False,4050917037,1,20,0
max,20,64000,20,False,64000,23.268381357192997,,ArtificialFunction,False,4.316672173390596e+47,cigar,10,1,1,SPSA,False,499388830,1,20,0
max,20,64000,20,False,64000,21.444157361984253,,ArtificialFunction,False,297.9793355912179,sphere4,10,1,1,SPSA,False,959320816,1,20,0
max,20,500,20,False,500,0.5187318325042725,,ArtificialFunction,False,20.7031359958264,sphere,10,1,1,SPSA,True,3340206418,1,20,0
max,20,128000,20,False,128000,44.115972995758064,,ArtificialFunction,False,20.166121850250143,sphere,10,1,1,SPSA,True,137025203,1,20,0
max,20,500,20,False,500,0.5786087512969971,,ArtificialFunction,False,9.765550970706675e+40,cigar,10,1,1,SPSA,True,2608511152,1,20,0
max,20,128000,20,False,128000,48.398818731307976,,ArtificialFunction,False,2.0105461489816225e+46,cigar,10,1,1,SPSA,True,2681917306,1,20,0
max,20,500,20,False,500,0.5661201477050781,,ArtificialFunction,False,376.67271801449965,sphere4,10,1,1,SPSA,True,1020231754,1,20,0
max,20,128000,20,False,128000,44.91323757171631,,ArtificialFunction,False,377.7777721616688,sphere4,10,1,1,SPSA,True,279535960,1,20,0
max,20,500,20,False,500,0.1614971160888672,,ArtificialFunction,False,26.75360896888647,sphere,10,1,1,SPSA,False,3691240976,1,20,0
max,20,128000,20,False,128000,41.12120914459229,,ArtificialFunction,False,26.958862487186746,sphere,10,1,1,SPSA,False,2962574549,1,20,0
max,20,500,20,False,500,0.1834714412689209,,ArtificialFunction,False,4.934239430113918e+42,cigar,10,1,1,SPSA,False,3540249318,1,20,0
max,20,128000,20,False,128000,46.81736373901367,,ArtificialFunction,False,4.663270769996949e+41,cigar,10,1,1,SPSA,False,2705094961,1,20,0
